Language1, Language2, SimilarityScore, Time
id, id, 0.5, 3.790855407714844e-05
id, fr, 0.16666666666666666, 1.5020370483398438e-05
id, mr, 0.25, 1.3828277587890625e-05
id, tr, 0.25, 1.2874603271484375e-05
id, lv, 0.25, 1.2874603271484375e-05
id, el, 0.5, 1.0967254638671875e-05
id, es, 0.16666666666666666, 1.239776611328125e-05
id, pl, 0.25, 1.1682510375976562e-05
id, vi, 0.5, 1.1205673217773438e-05
id, de, 0.5, 1.2874603271484375e-05
id, ml, 0.25, 1.1920928955078125e-05
id, sh, 0.25, 1.0967254638671875e-05
id, nl, 0.3333333333333333, 1.1205673217773438e-05
id, si, 0.25, 1.0967254638671875e-05
id, pt, 0.3333333333333333, 1.2636184692382812e-05
id, ro, 0.25, 1.33514404296875e-05
id, ja, 0.5, 1.239776611328125e-05
id, simple, 0.25, 1.0967254638671875e-05
id, it, 0.3333333333333333, 1.1920928955078125e-05
id, ceb, 0.25, 1.2636184692382812e-05
id, he, 0.25, 1.2874603271484375e-05
id, da, 0.25, 1.2874603271484375e-05
id, en, 0.3333333333333333, 1.52587890625e-05
id, sr, 0.25, 1.1205673217773438e-05
id, sv, 0.25, 1.1920928955078125e-05
id, ru, 0.3333333333333333, 1.1444091796875e-05
id, hi, 0.25, 1.239776611328125e-05
id, bs, 0.25, 1.1920928955078125e-05
id, zh, 0.25, 1.0967254638671875e-05
id, mk, 0.25, 1.0967254638671875e-05
id, hu, 0.25, 1.239776611328125e-05
id, ko, 0.5, 1.2159347534179688e-05
id, war, 0.25, 1.6450881958007812e-05
id, union, 0.3333333333333333, 1.3828277587890625e-05
fr, fr, 0.5, 1.0967254638671875e-05
fr, mr, 0.25, 1.1920928955078125e-05
fr, tr, 0.25, 1.2874603271484375e-05
fr, lv, 0.25, 1.33514404296875e-05
fr, el, 0.16666666666666666, 1.33514404296875e-05
fr, es, 0.5, 1.3113021850585938e-05
fr, pl, 0.25, 1.0967254638671875e-05
fr, vi, 0.16666666666666666, 1.2636184692382812e-05
fr, de, 0.16666666666666666, 1.1682510375976562e-05
fr, ml, 0.25, 1.1682510375976562e-05
fr, sh, 0.25, 1.2874603271484375e-05
fr, nl, 0.3333333333333333, 1.1444091796875e-05
fr, si, 0.25, 1.1205673217773438e-05
fr, pt, 0.3333333333333333, 1.1682510375976562e-05
fr, ro, 0.25, 1.2159347534179688e-05
fr, ja, 0.16666666666666666, 1.239776611328125e-05
fr, simple, 0.25, 1.430511474609375e-05
fr, it, 0.3333333333333333, 1.33514404296875e-05
fr, ceb, 0.25, 1.1444091796875e-05
fr, he, 0.25, 1.0967254638671875e-05
fr, da, 0.25, 1.2159347534179688e-05
fr, en, 0.3333333333333333, 1.621246337890625e-05
fr, sr, 0.25, 1.2874603271484375e-05
fr, sv, 0.25, 1.0967254638671875e-05
fr, ru, 0.3333333333333333, 1.0728836059570312e-05
fr, hi, 0.25, 1.1444091796875e-05
fr, bs, 0.25, 1.0967254638671875e-05
fr, zh, 0.25, 3.409385681152344e-05
fr, mk, 0.25, 1.1920928955078125e-05
fr, hu, 0.25, 1.1205673217773438e-05
fr, ko, 0.16666666666666666, 1.2636184692382812e-05
fr, war, 0.25, 1.2874603271484375e-05
fr, union, 0.3333333333333333, 1.8358230590820312e-05
mr, mr, 0.5, 1.1920928955078125e-05
mr, tr, 0.5, 1.1682510375976562e-05
mr, lv, 0.5, 1.1205673217773438e-05
mr, el, 0.25, 1.0967254638671875e-05
mr, es, 0.25, 1.1682510375976562e-05
mr, pl, 0.5, 2.2411346435546875e-05
mr, vi, 0.25, 1.0967254638671875e-05
mr, de, 0.25, 1.0728836059570312e-05
mr, ml, 0.5, 1.1920928955078125e-05
mr, sh, 0.5, 1.1444091796875e-05
mr, nl, 0.16666666666666666, 1.2159347534179688e-05
mr, si, 0.5, 1.1444091796875e-05
mr, pt, 0.16666666666666666, 1.1444091796875e-05
mr, ro, 0.5, 1.0728836059570312e-05
mr, ja, 0.25, 1.0728836059570312e-05
mr, simple, 0.5, 1.1205673217773438e-05
mr, it, 0.16666666666666666, 1.2159347534179688e-05
mr, ceb, 0.5, 1.3828277587890625e-05
mr, he, 0.5, 1.1682510375976562e-05
mr, da, 0.5, 1.0967254638671875e-05
mr, en, 0.16666666666666666, 1.3589859008789062e-05
mr, sr, 0.5, 1.2874603271484375e-05
mr, sv, 0.5, 1.3113021850585938e-05
mr, ru, 0.16666666666666666, 1.2636184692382812e-05
mr, hi, 0.5, 1.049041748046875e-05
mr, bs, 0.5, 1.2159347534179688e-05
mr, zh, 0.5, 1.0967254638671875e-05
mr, mk, 0.5, 1.0251998901367188e-05
mr, hu, 0.5, 0.002608060836791992
mr, ko, 0.25, 2.384185791015625e-05
mr, war, 0.5, 1.239776611328125e-05
mr, union, 0.16666666666666666, 1.4066696166992188e-05
tr, tr, 0.5, 1.1205673217773438e-05
tr, lv, 0.5, 1.3589859008789062e-05
tr, el, 0.25, 1.33514404296875e-05
tr, es, 0.25, 1.3113021850585938e-05
tr, pl, 0.5, 1.0967254638671875e-05
tr, vi, 0.25, 1.0967254638671875e-05
tr, de, 0.25, 1.1444091796875e-05
tr, ml, 0.5, 1.1205673217773438e-05
tr, sh, 0.5, 1.1444091796875e-05
tr, nl, 0.16666666666666666, 1.2159347534179688e-05
tr, si, 0.5, 1.0967254638671875e-05
tr, pt, 0.16666666666666666, 1.0967254638671875e-05
tr, ro, 0.5, 1.0967254638671875e-05
tr, ja, 0.25, 1.1682510375976562e-05
tr, simple, 0.5, 1.3828277587890625e-05
tr, it, 0.16666666666666666, 1.2874603271484375e-05
tr, ceb, 0.5, 1.0967254638671875e-05
tr, he, 0.5, 1.1205673217773438e-05
tr, da, 0.5, 1.2874603271484375e-05
tr, en, 0.16666666666666666, 1.5020370483398438e-05
tr, sr, 0.5, 1.2874603271484375e-05
tr, sv, 0.5, 1.2159347534179688e-05
tr, ru, 0.16666666666666666, 1.1205673217773438e-05
tr, hi, 0.5, 1.1444091796875e-05
tr, bs, 0.5, 1.1205673217773438e-05
tr, zh, 0.5, 1.0728836059570312e-05
tr, mk, 0.5, 1.2159347534179688e-05
tr, hu, 0.5, 1.1444091796875e-05
tr, ko, 0.25, 1.0728836059570312e-05
tr, war, 0.5, 1.1205673217773438e-05
tr, union, 0.16666666666666666, 1.2159347534179688e-05
lv, lv, 0.5, 1.1444091796875e-05
lv, el, 0.25, 1.1920928955078125e-05
lv, es, 0.25, 1.3589859008789062e-05
lv, pl, 0.5, 1.0967254638671875e-05
lv, vi, 0.25, 1.0967254638671875e-05
lv, de, 0.25, 3.075599670410156e-05
lv, ml, 0.5, 1.33514404296875e-05
lv, sh, 0.5, 1.2874603271484375e-05
lv, nl, 0.16666666666666666, 1.2159347534179688e-05
lv, si, 0.5, 1.049041748046875e-05
lv, pt, 0.16666666666666666, 1.1444091796875e-05
lv, ro, 0.5, 1.1444091796875e-05
lv, ja, 0.25, 1.1205673217773438e-05
lv, simple, 0.5, 1.1682510375976562e-05
lv, it, 0.16666666666666666, 1.1444091796875e-05
lv, ceb, 0.5, 1.1205673217773438e-05
lv, he, 0.5, 1.1205673217773438e-05
lv, da, 0.5, 1.2159347534179688e-05
lv, en, 0.16666666666666666, 1.6927719116210938e-05
lv, sr, 0.5, 1.1920928955078125e-05
lv, sv, 0.5, 1.0728836059570312e-05
lv, ru, 0.16666666666666666, 1.0728836059570312e-05
lv, hi, 0.5, 1.1920928955078125e-05
lv, bs, 0.5, 1.2636184692382812e-05
lv, zh, 0.5, 1.2874603271484375e-05
lv, mk, 0.5, 1.2159347534179688e-05
lv, hu, 0.5, 1.0967254638671875e-05
lv, ko, 0.25, 1.0728836059570312e-05
lv, war, 0.5, 1.0728836059570312e-05
lv, union, 0.16666666666666666, 1.2159347534179688e-05
el, el, 0.5, 1.2159347534179688e-05
el, es, 0.16666666666666666, 1.1444091796875e-05
el, pl, 0.25, 1.0728836059570312e-05
el, vi, 0.5, 1.049041748046875e-05
el, de, 0.5, 1.0728836059570312e-05
el, ml, 0.25, 1.1920928955078125e-05
el, sh, 0.25, 1.1920928955078125e-05
el, nl, 0.3333333333333333, 1.6927719116210938e-05
el, si, 0.25, 1.1205673217773438e-05
el, pt, 0.3333333333333333, 1.1205673217773438e-05
el, ro, 0.25, 1.0967254638671875e-05
el, ja, 0.5, 1.2636184692382812e-05
el, simple, 0.25, 1.2874603271484375e-05
el, it, 0.3333333333333333, 1.3113021850585938e-05
el, ceb, 0.25, 1.0728836059570312e-05
el, he, 0.25, 1.0967254638671875e-05
el, da, 0.25, 1.1444091796875e-05
el, en, 0.3333333333333333, 1.2159347534179688e-05
el, sr, 0.25, 1.1444091796875e-05
el, sv, 0.25, 1.0967254638671875e-05
el, ru, 0.3333333333333333, 1.0251998901367188e-05
el, hi, 0.25, 1.0728836059570312e-05
el, bs, 0.25, 1.049041748046875e-05
el, zh, 0.25, 1.1920928955078125e-05
el, mk, 0.25, 1.2874603271484375e-05
el, hu, 0.25, 1.239776611328125e-05
el, ko, 0.5, 1.049041748046875e-05
el, war, 0.25, 1.049041748046875e-05
el, union, 0.3333333333333333, 1.2874603271484375e-05
es, es, 0.5, 1.239776611328125e-05
es, pl, 0.25, 1.239776611328125e-05
es, vi, 0.16666666666666666, 1.1920928955078125e-05
es, de, 0.16666666666666666, 1.0251998901367188e-05
es, ml, 0.25, 1.0251998901367188e-05
es, sh, 0.25, 1.0967254638671875e-05
es, nl, 0.3333333333333333, 1.049041748046875e-05
es, si, 0.25, 1.0967254638671875e-05
es, pt, 0.3333333333333333, 1.1682510375976562e-05
es, ro, 0.25, 1.049041748046875e-05
es, ja, 0.16666666666666666, 1.049041748046875e-05
es, simple, 0.25, 1.0967254638671875e-05
es, it, 0.3333333333333333, 1.0967254638671875e-05
es, ceb, 0.25, 1.1205673217773438e-05
es, he, 0.25, 1.5974044799804688e-05
es, da, 0.25, 1.2159347534179688e-05
es, en, 0.3333333333333333, 1.2636184692382812e-05
es, sr, 0.25, 1.2636184692382812e-05
es, sv, 0.25, 1.239776611328125e-05
