Language1, Language2, SimilarityScore, Time
id, id, 1.0, 3.0994415283203125e-05
id, fr, 1.0, 1.1920928955078125e-05
id, es, 0.3333333333333333, 1.0013580322265625e-05
id, pl, 1.0, 9.5367431640625e-06
id, de, 0.0, 9.059906005859375e-06
id, sh, 0.0, 9.059906005859375e-06
id, nl, 1.0, 8.344650268554688e-06
id, si, 1.0, 8.58306884765625e-06
id, pt, 0.5, 8.821487426757812e-06
id, ro, 1.0, 9.059906005859375e-06
id, simple, 0.5, 9.059906005859375e-06
id, he, 1.0, 8.58306884765625e-06
id, da, 1.0, 9.775161743164062e-06
id, en, 0.25, 1.4543533325195312e-05
id, sv, 1.0, 9.059906005859375e-06
id, ckb, 1.0, 8.58306884765625e-06
id, ru, 0.5, 9.059906005859375e-06
id, te, 1.0, 9.298324584960938e-06
id, zh, 1.0, 8.58306884765625e-06
id, ko, 0.5, 9.298324584960938e-06
id, union, 0.2, 1.2874603271484375e-05
fr, fr, 1.0, 8.344650268554688e-06
fr, es, 0.3333333333333333, 8.344650268554688e-06
fr, pl, 1.0, 9.298324584960938e-06
fr, de, 0.0, 8.106231689453125e-06
fr, sh, 0.0, 7.62939453125e-06
fr, nl, 1.0, 8.58306884765625e-06
fr, si, 1.0, 8.106231689453125e-06
fr, pt, 0.5, 8.58306884765625e-06
fr, ro, 1.0, 8.344650268554688e-06
fr, simple, 0.5, 8.821487426757812e-06
fr, he, 1.0, 8.344650268554688e-06
fr, da, 1.0, 8.106231689453125e-06
fr, en, 0.25, 1.0251998901367188e-05
fr, sv, 1.0, 8.344650268554688e-06
fr, ckb, 1.0, 8.344650268554688e-06
fr, ru, 0.5, 8.344650268554688e-06
fr, te, 1.0, 8.106231689453125e-06
fr, zh, 1.0, 8.821487426757812e-06
fr, ko, 0.5, 8.821487426757812e-06
fr, union, 0.2, 1.1205673217773438e-05
es, es, 1.0, 8.58306884765625e-06
es, pl, 0.3333333333333333, 8.821487426757812e-06
es, de, 0.0, 8.106231689453125e-06
es, sh, 0.3333333333333333, 8.344650268554688e-06
es, nl, 0.3333333333333333, 8.58306884765625e-06
es, si, 0.3333333333333333, 8.821487426757812e-06
es, pt, 0.6666666666666666, 8.344650268554688e-06
es, ro, 0.3333333333333333, 9.5367431640625e-06
es, simple, 0.25, 8.58306884765625e-06
es, he, 0.3333333333333333, 8.58306884765625e-06
es, da, 0.3333333333333333, 8.344650268554688e-06
es, en, 0.75, 1.2159347534179688e-05
es, sv, 0.3333333333333333, 8.821487426757812e-06
es, ckb, 0.3333333333333333, 8.58306884765625e-06
es, ru, 0.6666666666666666, 8.821487426757812e-06
es, te, 0.3333333333333333, 8.344650268554688e-06
es, zh, 0.3333333333333333, 8.106231689453125e-06
es, ko, 0.6666666666666666, 9.059906005859375e-06
es, union, 0.6, 1.0728836059570312e-05
pl, pl, 1.0, 8.106231689453125e-06
pl, de, 0.0, 7.867813110351562e-06
pl, sh, 0.0, 7.867813110351562e-06
pl, nl, 1.0, 8.344650268554688e-06
pl, si, 1.0, 8.106231689453125e-06
pl, pt, 0.5, 8.106231689453125e-06
pl, ro, 1.0, 7.867813110351562e-06
pl, simple, 0.5, 8.106231689453125e-06
pl, he, 1.0, 8.106231689453125e-06
pl, da, 1.0, 7.867813110351562e-06
pl, en, 0.25, 1.0251998901367188e-05
pl, sv, 1.0, 8.344650268554688e-06
pl, ckb, 1.0, 8.344650268554688e-06
pl, ru, 0.5, 8.821487426757812e-06
pl, te, 1.0, 8.106231689453125e-06
pl, zh, 1.0, 8.106231689453125e-06
pl, ko, 0.5, 8.58306884765625e-06
pl, union, 0.2, 1.0251998901367188e-05
de, de, 1.0, 7.62939453125e-06
de, sh, 0.0, 8.106231689453125e-06
de, nl, 0.0, 7.62939453125e-06
de, si, 0.0, 7.867813110351562e-06
de, pt, 0.0, 7.867813110351562e-06
de, ro, 0.0, 7.62939453125e-06
de, simple, 0.0, 8.58306884765625e-06
de, he, 0.0, 7.867813110351562e-06
de, da, 0.0, 8.106231689453125e-06
de, en, 0.0, 1.049041748046875e-05
de, sv, 0.0, 8.344650268554688e-06
de, ckb, 0.0, 8.344650268554688e-06
de, ru, 0.0, 7.867813110351562e-06
de, te, 0.0, 7.867813110351562e-06
de, zh, 0.0, 8.106231689453125e-06
de, ko, 0.0, 7.867813110351562e-06
de, union, 0.2, 1.0728836059570312e-05
sh, sh, 1.0, 8.106231689453125e-06
sh, nl, 0.0, 8.106231689453125e-06
sh, si, 0.0, 7.867813110351562e-06
sh, pt, 0.5, 8.106231689453125e-06
sh, ro, 0.0, 8.106231689453125e-06
sh, simple, 0.0, 8.106231689453125e-06
sh, he, 0.0, 8.344650268554688e-06
sh, da, 0.0, 8.106231689453125e-06
sh, en, 0.25, 1.049041748046875e-05
sh, sv, 0.0, 8.344650268554688e-06
sh, ckb, 0.0, 7.867813110351562e-06
sh, ru, 0.5, 8.344650268554688e-06
sh, te, 0.0, 8.106231689453125e-06
sh, zh, 0.0, 7.867813110351562e-06
sh, ko, 0.0, 8.344650268554688e-06
sh, union, 0.2, 1.0251998901367188e-05
nl, nl, 1.0, 8.58306884765625e-06
nl, si, 1.0, 8.106231689453125e-06
nl, pt, 0.5, 8.344650268554688e-06
nl, ro, 1.0, 8.106231689453125e-06
nl, simple, 0.5, 8.58306884765625e-06
nl, he, 1.0, 8.58306884765625e-06
nl, da, 1.0, 7.867813110351562e-06
nl, en, 0.25, 9.775161743164062e-06
nl, sv, 1.0, 8.58306884765625e-06
nl, ckb, 1.0, 8.344650268554688e-06
nl, ru, 0.5, 7.867813110351562e-06
nl, te, 1.0, 8.58306884765625e-06
nl, zh, 1.0, 7.867813110351562e-06
nl, ko, 0.5, 8.106231689453125e-06
nl, union, 0.2, 1.0251998901367188e-05
si, si, 1.0, 8.58306884765625e-06
si, pt, 0.5, 8.58306884765625e-06
si, ro, 1.0, 9.059906005859375e-06
si, simple, 0.5, 8.106231689453125e-06
si, he, 1.0, 8.106231689453125e-06
si, da, 1.0, 7.867813110351562e-06
si, en, 0.25, 1.0013580322265625e-05
si, sv, 1.0, 8.344650268554688e-06
si, ckb, 1.0, 8.58306884765625e-06
si, ru, 0.5, 8.344650268554688e-06
si, te, 1.0, 8.344650268554688e-06
si, zh, 1.0, 7.62939453125e-06
si, ko, 0.5, 7.62939453125e-06
si, union, 0.2, 1.049041748046875e-05
pt, pt, 1.0, 8.344650268554688e-06
pt, ro, 0.5, 8.106231689453125e-06
pt, simple, 0.3333333333333333, 9.298324584960938e-06
pt, he, 0.5, 7.867813110351562e-06
pt, da, 0.5, 7.867813110351562e-06
pt, en, 0.5, 1.0251998901367188e-05
pt, sv, 0.5, 8.106231689453125e-06
pt, ckb, 0.5, 7.867813110351562e-06
pt, ru, 1.0, 8.344650268554688e-06
pt, te, 0.5, 8.344650268554688e-06
pt, zh, 0.5, 8.106231689453125e-06
pt, ko, 0.3333333333333333, 8.106231689453125e-06
pt, union, 0.4, 1.049041748046875e-05
ro, ro, 1.0, 8.344650268554688e-06
ro, simple, 0.5, 8.106231689453125e-06
ro, he, 1.0, 7.867813110351562e-06
ro, da, 1.0, 7.62939453125e-06
ro, en, 0.25, 1.0251998901367188e-05
ro, sv, 1.0, 7.867813110351562e-06
ro, ckb, 1.0, 8.106231689453125e-06
ro, ru, 0.5, 8.106231689453125e-06
ro, te, 1.0, 8.106231689453125e-06
ro, zh, 1.0, 7.867813110351562e-06
ro, ko, 0.5, 9.5367431640625e-06
ro, union, 0.2, 1.0728836059570312e-05
simple, simple, 1.0, 8.106231689453125e-06
simple, he, 0.5, 9.059906005859375e-06
simple, da, 0.5, 7.867813110351562e-06
simple, en, 0.5, 1.049041748046875e-05
simple, sv, 0.5, 8.106231689453125e-06
simple, ckb, 0.5, 7.867813110351562e-06
simple, ru, 0.3333333333333333, 7.867813110351562e-06
simple, te, 0.5, 7.867813110351562e-06
simple, zh, 0.5, 8.344650268554688e-06
simple, ko, 0.3333333333333333, 8.106231689453125e-06
simple, union, 0.4, 1.049041748046875e-05
he, he, 1.0, 8.106231689453125e-06
